,OBJECTID,Ner,Holboo_barih_utas,Duureg,Horoo,Bairshil,x,y,xy,lat_lon
205,217,ТҮЦ-2,0,8,132,,11901203.258167176,6090517.529549983,"11901203.258167176,6090517.529549983","(47.901704574008434, 106.9103278622462)"
206,223,,,7,108,,11903435.436220972,6095173.026117216,"11903435.436220972,6095173.026117216","(47.92973399533312, 106.93037985887221)"
207,269,,,8,119,,11900056.501715876,6090165.6622694,"11900056.501715876,6090165.6622694","(47.899585463955255, 106.90002637377255)"
208,123,,,4,39,,11911749.339754226,6095966.466896817,"11911749.339754226,6095966.466896817","(47.9345095623086, 107.00506492501839)"
209,1205,Д.Мөнхжаргал,96688024,9,143,Чингэлтэй 11 дүгээр гудамж 381в тоотын хажууд,11900121.470714835,6097183.534506562,"11900121.470714835,6097183.534506562","(47.94183400038418, 106.90061000022014)"
210,60,ТҮЦ / Иргэн Жамила/,91811293,3,13,,11897393.48236409,6092898.236866281,"11897393.48236409,6092898.236866281","(47.91604003295679, 106.87610406391639)"
211,226,11-р хороолол,0,7,105,,11902573.881989066,6095092.920746452,"11902573.881989066,6095092.920746452","(47.92925183205095, 106.92264038552601)"
212,83,,,3,24,,11898987.328322927,6093481.129339403,"11898987.328322927,6093481.129339403","(47.91954932217993, 106.89042182576995)"
213,134,ЭТӨЧ гудамж,0,4,34,,11905492.075144023,6093254.146713226,"11905492.075144023,6093254.146713226","(47.91818280738328, 106.94885496065713)"
214,34,бага тойруу ,0,7,105,,11902996.026349194,6093304.60721214,"11902996.026349194,6093304.60721214","(47.918486600355386, 106.9264325728341)"
215,40,бага тойруу ,0,7,105,,11903002.595258886,6093306.398655991,"11903002.595258886,6093306.398655991","(47.91849738555188, 106.92649158235386)"
216,11,27-р байрны урд буланд,0,7,103,,11902344.758105185,6094446.086672087,"11902344.758105185,6094446.086672087","(47.92535829993576, 106.92058213065755)"
217,183,,,4,32,,11904569.64295957,6094964.425243344,"11904569.64295957,6094964.425243344","(47.928478393703216, 106.94056861135856)"
218,54,,,3,26,,11897684.891110256,6093920.582115788,"11897684.891110256,6093920.582115788","(47.92219487900679, 106.87872183322247)"
219,303,,,3,21,,11897602.147282355,6094074.557568239,"11897602.147282355,6094074.557568239","(47.92312179713343, 106.87797853276976)"
220,91,Амарсанаагийн гудамж ,0,3,24,,11898966.2638694,6093610.056639745,"11898966.2638694,6093610.056639745","(47.92032549354708, 106.89023260056439)"
