,OBJECTID,GlobalID,Camer_name,Camer_zoriulalt,Camer_uzuulelt,burtgel,Gemteltei_eseh,x,y,xy,lat_lon
90,6523,{300CAAFB-D5D5-4882-A7A6-385DA72D7923},8,1,2,1,2,11899596.819465136,6092991.639835358,"11899596.819465136,6092991.639835358","(47.91660237915761, 106.89589697785576)"
91,9749,{A1541905-252A-427F-910E-84A7955D1E3D},8,1,2,1,2,11902638.714193579,6104012.676389539,"11902638.714193579,6104012.676389539","(47.98291323361959, 106.9232227831282)"
92,624,{172D35F4-BD17-4660-9945-FC31A65D458F},1,1,2,1,2,11905629.1261551,6093810.229428007,"11905629.1261551,6093810.229428007","(47.92153055571223, 106.9500861108367)"
93,17,{27D2A21E-9B49-4F05-907E-0FEA97ECD7CC},11,2,2,1,2,11897450.235867137,6092570.4784613885,"11897450.235867137,6092570.4784613885","(47.91406666731423, 106.87661388930853)"
94,658,{093DCE6B-9283-45EA-B6C9-74C53FB67D1E},1,1,2,1,2,11914966.976149896,6093193.330572465,"11914966.976149896,6093193.330572465","(47.91781666681457, 107.03396944454809)"
95,269,{FFEC829B-7260-4AF3-8D64-4C961666FC71},1,1,2,1,2,11904250.001424737,6093117.201658416,"11904250.001424737,6093117.201658416","(47.91735833279948, 106.93769722259677)"
96,518,{7A64B8CB-EEEB-4DBA-AFA7-EA99671E286B},8,1,3,1,2,11901244.065892646,6093879.442919657,"11901244.065892646,6093879.442919657","(47.921947222000895, 106.9106944442812)"
97,7720,{60143F5A-DCF4-4EEC-955D-01880359C772},8,1,2,1,2,11900545.299212445,6095804.44730584,"11900545.299212445,6095804.44730584","(47.93353443348154, 106.90441731639261)"
98,4139,{1AA0E29F-D2ED-4828-AB94-46D6E7764A83},8,1,2,1,2,11901703.341042869,6099280.216763119,"11901703.341042869,6099280.216763119","(47.95444961639438, 106.91482018315182)"
99,6532,{C2BC0C70-6672-48AD-B30B-735BF4129A28},11,2,2,1,2,11900964.767670788,6093884.775601041,"11900964.767670788,6093884.775601041","(47.92197932468594, 106.90818546566598)"
