,OBJECTID,Discrict,Khoroo,Khoroonii_surguuliin_nasnii_hun,School_name,Umchiin_helber,Huchin_chadal,Bulgiin_too,Student_number,Bagsh_ajilchidiin_too,Huyg,Zahiramjiin_dugaar,Uil_ajillagaa_ehlesen_on,Surguuliin_angilal,Surguuliin_hev_shinj,Barilgiin_ashiglaltand_orson,Surguuliin_zahiral,Utasnii_dugaar,Hicheeliin_bairnii_dugaar,Hen_oruulsan,Zaswar_hiisen_hun,x,y,xy,lat_lon
107,148,3,26.0,2701.0,133-р сургууль,1,,36.0,1484.0,41.0,,,,,,,,,,,,11905692.141600987,6090956.262668607,"11905692.141600987,6090956.262668607","(47.90434670943667, 106.95065218821844)"
108,99,7,10.0,1549.0,39-р сургууль,1,,45.0,1610.0,106.0,,,,,,,,,,,,11900814.799645444,6096232.236890084,"11900814.799645444,6096232.236890084","(47.936109082022334, 106.90683827997302)"
109,168,3,15.0,1424.0,Номч нахиа сургууль,2,,5.0,16.0,3.0,,,,,,,,,,,,11904665.963868799,6093049.371482206,"11904665.963868799,6093049.371482206","(47.916949957902915, 106.94143387680795)"
110,116,1,12.0,1907.0,Хүслийн өргөө сургууль,2,,13.0,305.0,30.0,,,,,,,,,,,,11897532.080528894,6094825.595083142,"11897532.080528894,6094825.595083142","(47.92764273613155, 106.87734911241435)"
111,139,3,18.0,2278.0,84-р сургууль,1,,106.0,4952.0,206.0,,,,,,,,,,,,11904442.684902577,6092859.99903296,"11904442.684902577,6092859.99903296","(47.91580981474001, 106.93942812772816)"
112,162,3,1.0,1498.0,Криллица бага сургууль,2,,6.0,92.0,19.0,,,,,,,,,,,,11903992.387966407,6094640.481954446,"11903992.387966407,6094640.481954446","(47.92652846742066, 106.93538304152663)"
113,185,5,15.0,4680.0,130-р бага сургууль,1,180.0,16.0,533.0,35.0,,,,,,,,,,,,11902648.961023815,6090616.602607665,"11902648.961023815,6090616.602607665","(47.90230122285112, 106.92331483197034)"
114,231,5,3.0,3194.0,Монгол бизнесийн сургууль,2,,1.0,5.0,15.0,,,,,,,,,,,,11899304.952406047,6089977.719337966,"11899304.952406047,6089977.719337966","(47.898453547796386, 106.89327509145465)"
115,128,3,1.0,1498.0,48-р сургууль,1,,94.0,3529.0,179.0,,,,,,,,,,,,11904129.253720552,6094499.846528512,"11904129.253720552,6094499.846528512","(47.92568191144539, 106.93661252751482)"
116,22,6,11.0,2177.0,131-р бага сургууль,1,,10.0,301.0,31.0,,,,,,,,,,,,11902381.408948526,6096038.795378195,"11902381.408948526,6096038.795378195","(47.93494487155041, 106.92091137078503)"
117,76,1,11.0,1142.0,28-р сургууль,1,,71.0,2576.0,154.0,,,,,,,,,,,,11898247.870681431,6094740.416407393,"11898247.870681431,6094740.416407393","(47.9271300151703, 106.8837791647568)"
118,108,1,17.0,1722.0,Эхлэл сургууль,2,,11.0,100.0,24.0,,,,,,,,,,,,11898905.292159162,6093005.495654232,"11898905.292159162,6093005.495654232","(47.91668579961581, 106.88968488237235)"
119,251,1,1.0,2792.0,Эрдэм алтай сургууль,2,,5.0,58.0,5.0,,,,,,,,,,,,11899080.226279173,6090709.144421106,"11899080.226279173,6090709.144421106","(47.902858532293024, 106.89125634230955)"
120,33,6,2.0,755.0,Сант сургууль,2,,48.0,1119.0,65.0,,,,,,,,,,,,11900939.766280074,6091730.545827357,"11900939.766280074,6091730.545827357","(47.909009262894116, 106.90796087435196)"
121,39,6,6.0,1037.0,ҮБТДС-ийн харьяа ЕБ-ийн ахлах сургууль,2,,3.0,40.0,9.0,,,,,,,,,,,,11902130.981041696,6094998.755298803,"11902130.981041696,6094998.755298803","(47.92868503382857, 106.91866173862228)"
122,182,5,1.0,1997.0,52-р сургууль,1,,79.0,3574.0,152.0,,,,,,,,,,,,11900641.110580249,6090544.679766284,"11900641.110580249,6090544.679766284","(47.90186808176003, 106.90527800455354)"
123,16,6,8.0,1188.0,МУБИС-ийн харьяа ЕБСургууль,1,,20.0,460.0,47.0,,,,,,,,,,,,11902783.714081591,6093422.029377413,"11902783.714081591,6093422.029377413","(47.919193523214005, 106.92452533928417)"
124,88,1,3.0,2351.0,141-р сургууль,1,,42.0,1375.0,81.0,,,,,,,,,,,,11900084.380010035,6091424.113009114,"11900084.380010035,6091424.113009114","(47.907164045811136, 106.90027680874992)"
125,159,3,28.0,1735.0,Хөвгүүд сургууль,2,,12.0,107.0,9.0,,,,,,,,,,,,11919813.909081034,6093138.835957505,"11919813.909081034,6093138.835957505","(47.9174885824783, 107.07751018387953)"
126,102,7,6.0,1429.0,Атланта сургууль,2,,12.0,95.0,25.0,,,,,,,,,,,,11901442.261407759,6094712.999593551,"11901442.261407759,6094712.999593551","(47.92696498246548, 106.9124748648859)"
127,145,3,18.0,2278.0,111-р сургууль,1,,34.0,1460.0,75.0,,,,,,,,,,,,11904465.981200391,6092019.473019732,"11904465.981200391,6092019.473019732","(47.9107490077744, 106.93963740193207)"
128,2,6,7.0,1523.0,2-р сургууль,1,,74.0,3071.0,149.0,,,,,,,,,,,,11902784.883524006,6094632.789927652,"11902784.883524006,6094632.789927652","(47.926482165567265, 106.92453584456412)"
129,245,7,4.0,919.0,Тоолол сургууль,2,,3.0,31.0,7.0,,,,,,,,,,,,11900928.109903954,6094239.25358053,"11900928.109903954,6094239.25358053","(47.924113233665, 106.9078561633437)"
130,71,6,17.0,,Эрдмийн хөтөч ЦС /58-р сур - 3-р байр/,1,,,,,,,,,,,,,,,,11904360.721426027,6105075.477450411,"11904360.721426027,6105075.477450411","(47.989303347215284, 106.93869183729093)"
131,94,7,13.0,1544.0,17-р сургууль,1,,63.0,2102.0,128.0,,,,,,,,,,,,11901437.634374084,6098222.147363801,"11901437.634374084,6098222.147363801","(47.94808365883663, 106.9124332995352)"
132,140,3,4.0,3167.0,97-р сургууль,1,,82.0,3058.0,158.0,,,,,,,,,,,,11905292.7049953,6094137.687931512,"11905292.7049953,6094137.687931512","(47.92350183133964, 106.94706398813918)"
133,163,3,19.0,2162.0,136-р бага сургууль,1,,8.0,240.0,30.0,,,,,,,,,,,,11909233.01927261,6097509.154957736,"11909233.01927261,6097509.154957736","(47.94379344181233, 106.9824604335346)"
134,186,5,3.0,3194.0,18-р сургууль,1,,47.0,2388.0,113.0,,,,,,,,,,,,11899490.713104654,6090260.393827119,"11899490.713104654,6090260.393827119","(47.90015599042895, 106.89494380820214)"
135,77,1,4.0,3355.0,38-р сургууль,1,,57.0,2434.0,116.0,,,,,,,,,,,,11897713.881703772,6091908.556744107,"11897713.881703772,6091908.556744107","(47.9100811439338, 106.87898226015497)"
136,17,6,4.0,535.0,45-р сургууль,1,,48.0,1841.0,109.0,,,,,,,,,,,,11900406.701600997,6092492.841659614,"11900406.701600997,6092492.841659614","(47.91359922114535, 106.90317227286556)"
137,31,6,8.0,1188.0,Логарифм сургууль,2,,24.0,597.0,54.0,,,,,,,,,,,,11903082.660900755,6093845.332983911,"11903082.660900755,6093845.332983911","(47.92174188008033, 106.9272108242521)"
138,223,1,3.0,2351.0,Монгол од сургууль,2,,18.0,318.0,23.0,,,,,,,,,,,,11899375.289163848,6091902.078064858,"11899375.289163848,6091902.078064858","(47.91004213338164, 106.89390693730034)"
139,83,1,18.0,2093.0,70-р тусгай сургууль,1,,26.0,323.0,64.0,,,,,,,,,,,,11898108.012746168,6093451.631963958,"11898108.012746168,6093451.631963958","(47.919371739703536, 106.88252279954828)"
140,177,3,13.0,2130.0,Эм Ай Ю сургууль,2,,12.0,223.0,27.0,,,,,,,,,,,,11908280.047570061,6092608.6519496525,"11908280.047570061,6092608.6519496525","(47.914296505872834, 106.97389974307727)"
141,154,3,1.0,1498.0,И Эс Эм сургууль,2,,32.0,610.0,94.0,,,,,,,,,,,,11903892.487715453,6094904.170280076,"11903892.487715453,6094904.170280076","(47.92811570388151, 106.93448562230344)"
142,134,3,17.0,2046.0,79-р сургууль /1-р байр/,1,,74.0,2278.0,169.0,,,,,,,,,,,,11911735.207383124,6095640.165755176,"11911735.207383124,6095640.165755176","(47.93254567207984, 107.00493797176878)"
143,34,6,8.0,1188.0,Хобби сургууль,2,,31.0,827.0,98.0,,,,,,,,,,,,11903171.043199278,6093714.413244038,"11903171.043199278,6093714.413244038","(47.920953735266174, 106.92800477594821)"
144,11,6,8.0,1188.0,25-р тусгай сургууль,1,,23.0,218.0,80.0,,,,,,,,,,,,11903345.846180083,6093717.144732374,"11903345.846180083,6093717.144732374","(47.92097017911509, 106.92957505784186)"
145,183,5,3.0,3194.0,15-р сургууль,1,,49.0,1704.0,96.0,,,,,,,,,,,,11899891.669372158,6090408.526339199,"11899891.669372158,6090408.526339199","(47.90104811474245, 106.89854565963577)"
146,160,3,3.0,1373.0,Шилдэг сургууль,2,,20.0,436.0,29.0,,,,,,,,,,,,11904436.456548832,6093875.139563731,"11904436.456548832,6093875.139563731","(47.9219213158296, 106.93937217747454)"
147,111,1,18.0,2093.0,Русская гимназия сургууль,2,,6.0,39.0,17.0,,,,,,,,,,,,11898434.512676405,6093312.394172449,"11898434.512676405,6093312.394172449","(47.91853348090251, 106.88545579832423)"
148,103,7,4.0,919.0,Чинхур сургууль,2,,8.0,36.0,9.0,,,,,,,,,,,,11901071.925751563,6093813.73201436,"11901071.925751563,6093813.73201436","(47.921551641416784, 106.90914808308376)"
149,91,7,4.0,919.0,5-р сургууль,1,,67.0,3096.0,133.0,,,,,,,,,,,,11901321.068000963,6094382.402100427,"11901321.068000963,6094382.402100427","(47.92497494323455, 106.9113861659893)"
150,97,7,15.0,1649.0,72-р сургууль,1,,50.0,1714.0,111.0,,,,,,,,,,,,11899904.98637513,6100287.339340915,"11899904.98637513,6100287.339340915","(47.960508319945575, 106.89866528830885)"
151,246,7,2.0,693.0,Бэтүб шашны сургууль,2,,6.0,41.0,30.0,,,,,,,,,,,,11900114.41864161,6093632.655150297,"11900114.41864161,6093632.655150297","(47.92046154046765, 106.90054665036851)"
152,197,5,11.0,3491.0,Америк сургууль,2,,30.0,513.0,101.0,,,,,,,,,,,,11902215.064037485,6087060.25557445,"11902215.064037485,6087060.25557445","(47.88087948503974, 106.9194170690248)"
153,214,6,10.0,1632.0,Потунхуа сургууль,2,,14.0,222.0,31.0,,,,,,,,,,,,11902085.157317238,6095268.906641223,"11902085.157317238,6095268.906641223","(47.93031110513568, 106.91825009710173)"
154,143,3,20.0,1401.0,85-р сургууль,1,,28.0,762.0,76.0,,,,,,,,,,,,11928572.171388717,6094676.107795512,"11928572.171388717,6094676.107795512","(47.926742915232055, 107.15618699281272)"
155,237,1,17.0,1722.0,Ес эрдэм сургууль,2,,12.0,83.0,11.0,,,,,,,,,,,,11898841.477559488,6092972.234168049,"11898841.477559488,6092972.234168049","(47.916485545009685, 106.88911162606998)"
156,166,3,25.0,2542.0,Шинэ монгол сургууль,2,,48.0,1431.0,133.0,,,,,,,,,,,,11904380.15826747,6092050.041341674,"11904380.15826747,6092050.041341674","(47.91093306830783, 106.93886644140835)"
157,114,1,11.0,1142.0,Хүрээ тулга сургууль,2,,19.0,373.0,37.0,,,,,,,,,,,,11898231.092182951,6094558.133443394,"11898231.092182951,6094558.133443394","(47.926032771637175, 106.88362844094051)"
158,20,6,14.0,1128.0,Ажилчин залуучуудын ээлжийн сургууль,1,,6.0,105.0,28.0,,,,,,,,,,,,11902109.216951275,6101178.840512202,"11902109.216951275,6101178.840512202","(47.96587086905588, 106.91846622847159)"
159,80,1,2.0,1444.0,51-р сургууль,1,,53.0,1745.0,101.0,,,,,,,,,,,,11897706.381915381,6092928.935753747,"11897706.381915381,6092928.935753747","(47.91622486076135, 106.8789148884096)"
160,28,6,9.0,1078.0,Галакси сургууль,2,,14.0,140.0,20.0,,,,,,,,,,,,11901534.938745372,6095274.456179045,"11901534.938745372,6095274.456179045","(47.93034450789192, 106.9133073995746)"
161,174,3,25.0,2542.0,Улаанбаатар сургууль,2,,33.0,763.0,89.0,,,,,,,,,,,,11904725.562924933,6091972.2787564285,"11904725.562924933,6091972.2787564285","(47.91046483644858, 106.94196926423841)"
162,74,1,4.0,3355.0,20-р сургууль,1,,71.0,3006.0,142.0,,,,,,,,,,,,11897993.193560144,6092467.373831163,"11897993.193560144,6092467.373831163","(47.913445880075415, 106.88149136125112)"
163,131,3,16.0,3229.0,53-р сургууль,1,,64.0,2440.0,124.0,,,,,,,,,,,,11909020.695682911,6093424.404259776,"11909020.695682911,6093424.404259776","(47.91920782074396, 106.98055309827654)"
164,249,6,6.0,1037.0,Күнз бага сургууль,2,,4.0,69.0,11.0,,,,,,,,,,,,11902384.184013272,6094207.4756345125,"11902384.184013272,6094207.4756345125","(47.92392193836602, 106.92093629961579)"
165,180,3,25.0,2542.0,Гёте сургууль,2,,22.0,454.0,56.0,,,,,,,,,,,,11904838.15193404,6091801.402420327,"11904838.15193404,6091801.402420327","(47.90943592387295, 106.94298066851545)"
166,157,3,15.0,1424.0,Оюуны оньс сургууль,2,,9.0,125.0,18.0,,,,,,,,,,,,11904714.195628693,6093123.44019359,"11904714.195628693,6093123.44019359","(47.91739589204406, 106.94186715007889)"
167,14,6,7.0,1523.0,Монгол Улсын Консерватори,1,,32.0,839.0,56.0,,,,,,,,,,,,11903000.218440933,6094101.326423738,"11903000.218440933,6094101.326423738","(47.923282941497995, 106.92647023103493)"
168,37,6,7.0,1523.0,Дойче шуле сургууль,2,,16.0,290.0,40.0,,,,,,,,,,,,11902781.363317912,6094868.2805405585,"11902781.363317912,6094868.2805405585","(47.927899673278425, 106.92450422201475)"
169,137,3,8.0,3312.0,Амгалан цогцолбор сургууль,1,,84.0,2922.0,156.0,,,,,,,,,,,,11911404.53433916,6092459.291964489,"11911404.53433916,6092459.291964489","(47.913397219291326, 107.00196748527438)"
170,243,7,5.0,840.0,112-р шашны сургууль,1,,6.0,97.0,15.0,,,,,,,,,,,,11900078.155783959,6093918.670531861,"11900078.155783959,6093918.670531861","(47.92218337134215, 106.90022089557577)"
171,8,6,1.0,1358.0,1-р сургууль,1,,65.0,3503.0,145.0,,,,,,,,,,,,11901373.31430261,6092793.461905616,"11901373.31430261,6092793.461905616","(47.91540921274838, 106.91185550250239)"
172,194,5,15.0,4680.0,Оргил сургууль,2,,14.0,254.0,22.0,,,,,,,,,,,,11901571.843379237,6089655.283742034,"11901571.843379237,6089655.283742034","(47.89651157055374, 106.91363891954114)"
173,151,3,16.0,3229.0,БХИС-ийн харьяа Тэмүүжин өрлөг сургууль,1,,13.0,380.0,60.0,,,,,,,,,,,,11909834.044182051,6093788.5825358145,"11909834.044182051,6093788.5825358145","(47.921400240397986, 106.98785953215749)"
174,100,7,12.0,3077.0,61-р сургууль,1,,29.0,859.0,70.0,,,,,,,,,,,,11900541.85550996,6097712.923314778,"11900541.85550996,6097712.923314778","(47.945019592861414, 106.90438638108685)"
