,OBJECTID,District,Khoroo,Hayg,Tsetserleg_ner,Umchiin_helber,Zahiramjiin_dugaar,Tsetserlegiin_hew_shinj,Tsetserlegiin_angilal,Bulgiin_too,huuhdiin_too,Bagsh_ajiltanii_too,huchin_chadal,Tsetserlegiin_erhlegch,hicheeliin_bairnii_dugaar,Hen_oruulsan,Zaswar_hiisen_hun,created_user,created_date,last_edited_user,last_edited_date,Uil_ajilgaa_ehlesen_on,Barilgiin_ashiglaltand_orosn_on,Utasnii_dugaar,x,y,xy,lat_lon
103,2430,6,13,,130-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561280573000,Esri_Anonymous,1561280591000,,,,11902092.218872339,6099707.072288871,"11902092.218872339,6099707.072288871","(47.95701760415858, 106.9183135321305)"
104,867,6,11,100 айл,186-р цэцэрлэг,1,,2,4,,,,,,,,,Esri_Anonymous,1560851816000,Esri_Anonymous,1560851855000,,,,11903276.891295128,6095446.9142085295,"11903276.891295128,6095446.9142085295","(47.9313825247565, 106.92895562557116)"
105,1242,1,2,Бизнесийн дээд сургуулийн хашаа,66-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560915515000,Esri_Anonymous,1560915548000,,,,11898625.913926683,6092831.941021613,"11898625.913926683,6092831.941021613","(47.91564088544427, 106.88717518500948)"
106,1620,7,4,Нийслэлийн ЦГ-ийн ард,18-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560998227000,Esri_Anonymous,1560998272000,,,,11900896.347842932,6094096.12427294,"11900896.347842932,6094096.12427294","(47.92325162539514, 106.90757083989499)"
107,2012,1,17,,249-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561108586000,Esri_Anonymous,1561108608000,,,,11898631.299450647,6093132.906816117,"11898631.299450647,6093132.906816117","(47.91745288601076, 106.88722356399438)"
108,2018,1,19,,198-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561108935000,Esri_Anonymous,1561108948000,,,,11897809.90274564,6093784.920809819,"11897809.90274564,6093784.920809819","(47.92137819660194, 106.87984483185005)"
109,853,6,4,,40-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560851066000,Esri_Anonymous,1560851087000,,,,11900559.974723106,6092681.148884225,"11900559.974723106,6092681.148884225","(47.914732999481856, 106.90454914874792)"
110,2421,3,21,,202-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561279358000,Esri_Anonymous,1561279379000,,,,11905007.044838084,6099218.230006238,"11905007.044838084,6099218.230006238","(47.95407668983323, 106.94449785928627)"
111,1611,7,17,37-р сургуулийн баруун хойно,103-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560997263000,Esri_Anonymous,1560997291000,,,,11900162.137373969,6102133.323169642,"11900162.137373969,6102133.323169642","(47.97161164670791, 106.90097531503469)"
112,1216,3,13,Офицерийн тойрог,172-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1560902270000,Esri_Anonymous,1560902301000,,,,11908170.100872716,6092773.942239894,"11908170.100872716,6092773.942239894","(47.91529168954853, 106.97291207509063)"
113,1651,5,15,Хурд хорооллын зүүн талд,218-р цэцэрлэг,1,,1,3,,,,,,,,,Esri_Anonymous,1561013095000,Esri_Anonymous,1561013126000,,,,11902706.5418139,6090617.397740973,"11902706.5418139,6090617.397740973","(47.902306011364026, 106.92383208900841)"
