,OBJECTID,Ner,Holboo_barih_utas,Duureg,Horoo,Bairshil,x,y,xy,lat_lon
724,262,Хөхийн дуулга ХХК,99192932,9,146,,11901538.84758886,6098284.658692795,"11901538.84758886,6098284.658692795","(47.948459784948994, 106.91334251331308)"
725,594,,,3,8,,11898691.568254575,6092299.878181956,"11898691.568254575,6092299.878181956","(47.91243738221938, 106.88776496787163)"
726,2229,,,4,53,,11915874.55070967,6092129.089315381,"11915874.55070967,6092129.089315381","(47.91140903553465, 107.04212232553331)"
727,168,,,7,111,,11902015.795274962,6100850.076396365,"11902015.795274962,6100850.076396365","(47.96389335516197, 106.91762700727459)"
728,1496,,,9,140,,11899184.922971418,6096045.591257482,"11899184.922971418,6096045.591257482","(47.93498577238754, 106.89219684869795)"
729,2160,содном 53-р байр ,99029440,7,105,,11902257.740037115,6094665.843178464,"11902257.740037115,6094665.843178464","(47.92668112801957, 106.91980043405215)"
730,2492,"25 дугаар байрны 1, 2 дугаар орцны дунд",94106949,3,19,,11898005.577125166,6094987.849500586,"11898005.577125166,6094987.849500586","(47.92861938952918, 106.88160260470843)"
731,1519,,,4,44,,11906515.537531039,6091883.654800118,"11906515.537531039,6091883.654800118","(47.90993119984972, 106.95804887970691)"
732,1851,,,4,39,,11911741.618621042,6095990.950694536,"11911741.618621042,6095990.950694536","(47.93465691854911, 107.00499556489889)"
733,2183,,,3,21,,11898009.10747832,6094365.768156447,"11898009.10747832,6094365.768156447","(47.92487481280221, 106.88163431841042)"
734,1711,Улз хүнсний дэлгүүр,99140123,9,137,,11901147.504375663,6094157.954889408,"11901147.504375663,6094157.954889408","(47.92362383443737, 106.90982701741558)"
735,1782,,,9,139,,11900640.712435946,6094410.256908427,"11900640.712435946,6094410.256908427","(47.92514261884724, 106.90527442796241)"
736,2369,"Хангайн 3-117 тоот, Их хайрхан хүнсний мухлаг 6",0,7,109,,11902836.755008744,6096596.034871826,"11902836.755008744,6096596.034871826","(47.938298496695936, 106.92500181403963)"
737,354,,,4,40,,11913649.899153303,6090918.040053312,"11913649.899153303,6090918.040053312","(47.904116530840646, 107.02213794058407)"
738,803,Хүнс 18 хүнсний дэлгүүр,88074546,7,107,,11902380.186655782,6095411.701318196,"11902380.186655782,6095411.701318196","(47.93117058169884, 106.92090039074252)"
739,162,,,7,114,,11903638.215953646,6103786.930389515,"11903638.215953646,6103786.930389515","(47.9815558292082, 106.93220146020393)"
740,331,,,4,41,,11920403.528555691,6087731.5714799,"11920403.528555691,6087731.5714799","(47.88492385025669, 107.08280682573852)"
741,2154,мандлан 21-212,91659565,7,112,,11903445.929100541,6103033.309039004,"11903445.929100541,6103033.309039004","(47.977024066539755, 106.93047411801314)"
742,185,Хулан хүнсний дэлгүүр,0,7,113,,11904332.120815514,6103685.412450377,"11904332.120815514,6103685.412450377","(47.980945393032506, 106.93843491363533)"
743,308,,,9,150,,11900368.144351607,6102503.027234294,"11900368.144351607,6102503.027234294","(47.973835076509204, 106.90282590720115)"
744,1513,,,9,142,,11900576.74865414,6095602.793971483,"11900576.74865414,6095602.793971483","(47.93232073987825, 106.90469983153413)"
745,1759,Сургуулийн 35-706 Тайванбаатар ХХК,99619074,9,146,,11901188.513665937,6098676.398494841,"11901188.513665937,6098676.398494841","(47.95081679247315, 106.910195410138)"
746,2177,Рапид 6а-р байр 1-р орц,0,8,132,,11902125.794699736,6090538.840757592,"11902125.794699736,6090538.840757592","(47.90183291732565, 106.91861514891978)"
747,2398,,,3,21,,11897744.272448555,6094136.662690608,"11897744.272448555,6094136.662690608","(47.92349565958353, 106.87925526486032)"
748,623,,,4,41,,11913586.061924022,6086833.436478984,"11913586.061924022,6086833.436478984","(47.87951293441532, 107.02156448099649)"
749,2200,,,3,9,,11897890.570401486,6092965.716504829,"11897890.570401486,6092965.716504829","(47.916446304577256, 106.88056948173184)"
750,2283,,,4,55,,11904315.80331705,6091914.11015792,"11904315.80331705,6091914.11015792","(47.91011458309311, 106.93828833105265)"
751,231,,,9,140,,11898786.330764724,6097283.811342111,"11898786.330764724,6097283.811342111","(47.94243743042761, 106.88861623398391)"
752,268,Сургуулийн 33-661 'Эрхэлийн хөндий' ххк,89425999,9,146,,11900642.317328518,6099285.505970673,"11900642.317328518,6099285.505970673","(47.954481437356755, 106.90528884495767)"
753,563,,,9,149,,11898392.986081637,6101392.301628177,"11898392.986081637,6101392.301628177","(47.96715479566309, 106.88508275857647)"
754,1559,,,4,32,,11904717.774566185,6094754.223411398,"11904717.774566185,6094754.223411398","(47.927213124818365, 106.94189930022138)"
755,657,,,4,34,,11905138.546448478,6093434.689500732,"11905138.546448478,6093434.689500732","(47.91926974104571, 106.94567915835131)"
756,1250,,,4,38,,11910713.532825233,6093727.698041434,"11910713.532825233,6093727.698041434","(47.92103371110367, 106.99576011306128)"
